VAR3	StepID	x	y	finalcl	STEPLENGTH	TURNANGLE	BEARING	BRGPREV	NETDISP	arrival_bearing	next_bearing	bearing2targetmead	dist2targetmead	observed	landcover	bearing2pixel	bearing2gap	dist2gap	strata	Xdp	Xtm	XtmDtm_0	XtmDtm_pos0_5	XtmDtm_neg0_5	Xcg	XcgDcg_0	XcgDcg_pos0_5	XcgDcg_neg0_5	conifer	decid	meadow
10	43	386943.7842	5952175.762	0	10	1.60E-10	242.0546929	242.0546929	402.9097591	-2.653855518	-2.653854587	-2.32271372	228.5370946	1	4	-2.35619449	-2.471044476	49.5024451	37	0.956025089	0.999439571	0.999439571	15.10897114	0.066111679	0.993411987	0.993411987	6.989445477	0.141193944	0	1	0
10	44	386934.9503	5952171.075	0	9.999707014	-0.62645	241.4282407	242.0546929	411.7810175	-2.653854587	-2.642921421	-2.307874494	219.1044956	1	4	-2.35619449	-2.425248979	39.71070992	38	0.956025362	0.998832816	0.998832816	14.78490188	0.06747877	0.997616686	0.997616686	6.286624635	0.158310558	0	1	0
10	45	386926.1683	5952166.293	0	10	-0.30706	241.1211725	241.4282407	420.7509785	-2.642921421	-2.637561863	-2.292193123	209.6866045	1	4	-2.35619449	-2.353262363	30.02473011	39	0.959174683	0.997952612	0.997952612	14.45091221	0.068916716	0.999995701	0.999995701	5.479459095	0.182498196	0	1	0
10	46	386917.4119	5952161.463	0	10	0	241.1211725	241.1211725	429.7894737	-2.637561863	-2.637562787	-2.275290969	200.3057087	1	6	-2.35619449	-2.21679908	20.61782332	40	0.960676659	0.996729095	0.996729095	14.10664701	0.070425586	0.990300182	0.990300182	4.496641512	0.218094871	0	0	0
10	47	386908.6555	5952156.634	0	10	0	241.1211725	241.1211725	438.8696818	-2.637562787	-2.637561863	-2.256733763	190.9876553	1	6	-2.35619449	-1.875243652	12.19446988	41	0.960676402	0.995057858	0.995057858	13.75152878	0.072002187	0.886555445	0.886555445	3.095903135	0.253877632	0	0	0
10	48	386899.8991	5952151.804	0	9.992400184	1.849441	242.970614	241.1211725	447.9890662	-2.637561863	-2.669840921	-2.236280863	181.7420954	1	4	-2.35619449	-2.454949977	58.05571772	42	0.960676659	0.992818972	0.992818972	13.38436689	0.073644836	0.995127639	0.995127639	7.582305658	0.130603943	0	1	0
10	49	386890.9981	5952147.263	0	10	2.698266	245.6688806	242.970614	457.0052809	-2.669840921	-2.716933911	-2.211974852	172.7252521	1	4	-2.35619449	-2.410856617	48.34013076	43	0.951214866	0.989618361	0.989618361	13.00605727	0.075299107	0.998506398	0.998506398	6.942322144	0.143614054	0	1	0
10	50	386881.8863	5952143.143	0	9.948523491	-2.94515	242.7237256	245.6688806	465.8613153	-2.716933911	-2.665532277	-2.182480327	164.0446545	1	4	-2.35619449	-2.333361955	38.92171072	44	0.935636089	0.984949599	0.984949599	12.61522642	0.076901173	0.999739349	0.999739349	6.23710056	0.160247339	0	1	0
10	51	386873.044	5952138.584	0	10	-11.4642	231.2594278	242.7237256	474.9360978	-2.665532277	-2.46544218	-2.152721686	155.3031899	1	4	-2.35619449	-2.223892908	29.69475263	46	0.952535375	0.97937073	0.97937073	12.20498663	0.078588126	0.991260904	0.991260904	5.401667325	0.18190646	0	1	0
10	52	386865.2441	5952132.326	0	9.87223159	-6.7482	224.5112194	231.2594278	484.7045898	-2.46544218	-2.347663608	-2.131622403	145.8206468	1	4	-2.35619449	-2.104766687	20.1277165	47	0.994038404	0.974889488	0.974889488	11.77239695	0.080732031	0.96855819	0.96855819	4.345332074	0.215887981	0	1	0
10	53	386858.3232	5952125.286	0	10	-12.4473	212.0638277	224.5112194	494.5326416	-2.347663608	-2.130415763	-2.116083271	136.194349	1	6	-2.35619449	-1.883295444	10.80929332	48	0.999963612	0.971311532	0.971311532	11.33543234	0.083229829	0.890251605	0.890251605	2.926923802	0.27077846	0	0	0
10	54	386853.0145	5952116.811	0	10	-5.70E-10	212.0638277	212.0638277	504.4579154	-2.130415763	-2.130415317	-2.114947573	126.1954598	1	4	-2.35619449	-0.739536871	2.687471173	49	0.974620073	0.971040824	0.971040824	10.90835728	0.086440172	-0.045845217	-0.045845217	-0.075156395	-0.02796547	0	1	0
10	55	386847.7059	5952108.337	0	9.936152769	-4.21847	207.8453568	212.0638277	514.3860838	-2.130415317	-2.056789479	-2.113616456	116.1967524	1	4	-2.35619449	-1.536619126	213.4612879	50	0.974619973	0.970721942	0.970721942	10.4638581	0.090052931	0.682531617	0.682531617	9.972001533	0.046715738	0	1	0
10	56	386843.0649	5952099.551	0	10	-9.93947	197.9058782	207.8453568	524.1423602	-2.056789479	-1.883313176	-2.118926488	106.2781376	1	4	-1.570796327	-1.512514436	204.8988696	51	0.884211497	0.853500372	0.853500372	8.798845308	0.082790737	0.998302091	0.998302091	14.28998464	0.069741647	0	1	0
10	57	386839.9903	5952090.035	0	10	-3.20E-10	197.9058782	197.9058782	533.5051799	-1.883313176	-1.883312774	-2.143098733	96.58264705	1	4	-1.570796327	-1.493988971	195.6120603	52	0.951562768	0.840656293	0.840656293	8.261673356	0.085539935	0.997051765	0.997051765	13.94490373	0.071288568	0	1	0
10	58	386836.9158	5952080.52	0	10	0	197.9058782	197.9058782	542.8907258	-1.883312774	-1.883312869	-2.172643638	86.95614544	1	6	-1.570796327	-1.47362464	186.399049	53	0.951562891	0.824291137	0.824291137	7.686537856	0.088395568	0.995282545	0.995282545	13.58839723	0.072899499	0	0	0
10	59	386833.8412	5952071.004	0	9.824397114	7.231511	205.1373901	197.9058782	552.2978394	-1.883312869	-2.00952633	-2.209502251	77.42438054	1	4	-2.35619449	-1.451153048	177.2713539	54	0.890259542	0.989259973	0.989259973	8.704609783	0.112427245	0.617652988	0.617652988	8.223635028	0.046390095	0	1	0
10	60	386829.6679	5952062.11	0	10	15.95916	221.0965527	205.1373901	561.8962765	-2.00952633	-2.288066441	-2.238280396	67.82385021	1	4	-2.35619449	-1.420352644	169.0192671	55	0.940509977	0.993056184	0.993056184	8.178337716	0.120582033	0.593140867	0.593140867	7.711270807	0.04562362	0	1	0
10	61	386823.0946	5952054.574	0	9.909544551	-13.847	207.2495	221.0965527	571.8751925	-2.288066441	-2.046390025	-2.229676059	57.83838151	1	4	-2.35619449	-1.373457728	162.7324465	57	0.997680182	0.992007213	0.992007213	7.54436855	0.130438791	0.55474759	0.55474759	7.076727959	0.04348689	0	1	0
10	62	386818.5574	5952045.764	0	10	-4.28546	202.9640374	207.2495	581.6320189	-2.046390025	-1.971594374	-2.267211902	48.12872627	1	4	-2.35619449	-1.33362652	155.1062355	58	0.952393201	0.996043661	0.996043661	6.910039978	0.143574129	0.52117604	0.52117604	6.490812594	0.041847528	0	1	0
10	63	386814.6559	5952036.557	0	10	-3.10E-10	202.9640374	202.9640374	591.3285322	-1.971594374	-1.971594374	-2.342616323	38.67239148	1	4	-2.35619449	-1.843935669	147.0065304	59	0.926948539	0.999907818	0.999907818	6.218139756	0.160790153	0.871639577	0.871639577	10.56830297	0.071890024	0	1	0
10	64	386810.7543	5952027.349	0	9.673819209	21.59992	224.5639583	202.9640374	601.0349911	-1.971594374	-2.348584286	-2.465514513	29.57589331	1	4	-2.35619449	-1.834649029	137.0938142	60	0.926948539	0.994030515	0.994030515	5.405908021	0.182780887	0.867050235	0.867050235	10.15203695	0.074051751	0	1	0
10	65	386803.9662	5952020.457	0	10	9.934504	234.498463	224.5639583	610.6207586	-2.348584286	-2.521973811	-2.521973782	20.00000254	1	4	-2.35619449	-1.79770512	128.7575509	61	0.999971043	0.986290055	0.986290055	4.410823499	0.220541147	0.84805657	0.84805657	9.623015308	0.074737483	0	1	0
